series,type,status,file,url,pages,bytes,sha256
"螺紋","官方單行本","已下載並解析","W251001EC_CXMT_Thread_Milling.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W251001EC_CXMT_Thread_Milling.pdf","7","1038125","7342ed90d5ff225f03aee4645ab2992b12633f8c4a1637074c81e7c6b30844e0"
"螺紋","官方單行本","已下載並解析","W251205EC_ET_Thread_Mills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W251205EC_ET_Thread_Mills.pdf","20","2299686","89199d30b0542b067f211fc10b0d86a3eda6747f3b93de900885ab601ab77b8b"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DA.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DA.pdf","3","538661","38d9922f90d6d6330aebd8b23386b494c1b8cf8a8dc131f02ca8bc5593cb48e0"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DC.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DC.pdf","1","487838","41dfebd865ae3540a825982c2224adc01dac56e39d52515393f73b1165791052"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DF.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DF.pdf","2","447435","257cc8377f42ac3c769094fa64219af31b257bd2863cfad3da1b4f0d8ce8787b"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DG.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DG.pdf","1","439912","6105e8745f5cb58d5bad54471d2044bfafeea457ce5e882b5788f5de2bbbad5a"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DH.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DH.pdf","1","441634","24fd332c01112523ac5ba4f3647b9dccfea6989d2cbfb88e82a98dc7d3132829"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DM.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DM.pdf","4","556187","641bcb0c4d58ccf360cdb381eb12060597e03d346b40e80db1051bb690774db3"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DMU.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DMU.pdf","7","1098776","abbe5d09c93318e9b241251f0ad01cbd95a5274932231b6c0df7d110e5497d91"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DP.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DP.pdf","17","1025782","56a48919565c95f17653f92e4f6e6314666c23b7652d1e67cb7d341eeb8e082a"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DRM.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DRM.pdf","1","400492","a364ed2e527e9954b49fe93d63ccc4453f36ffa910f27f1915cc6e482fc0fb2a"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DRMM.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DRMM.pdf","7","695795","4e0544d151a87b541c9b1f5e189d77739a2adda409402e6fddc4afd883b474ef"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DRS.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DRS.pdf","3","553945","ca07cf7ea2fada86a4e48eeb6549bb6414e9db0f4f60722f71b821044b56a5e9"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DRSM.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DRSM.pdf","7","621229","6d69291154a816ba8fed57104a64c5b25d13386d76448c256fd3fa606a8d707a"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DSP.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DSP.pdf","10","838038","e8e209c57bd04d3ddf49c463724d022bafb3ba7a980ffc3f1c3269cd9b8c191d"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DT.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DT.pdf","3","583123","ef96ca03eb7df5a271b13c792b87bc8a14456fd1e50ba98c2c003456ba9401ba"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DTS.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DTS.pdf","6","988863","c7eefa2b611c88d21d0017402d8fffe976529724066d47a5ae36e10d598ba80a"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DWC.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DWC.pdf","10","839542","c0950144195bfb8e7f3968d81273af4945cc869d124c33daa854c0b5cb763bf8"
"孔加工／整體式鎢鋼鑽","官方單行本","已下載並解析","Winstar_DWD.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DWD.pdf","6","737561","aac8350750e54c01203df12c02a38c826e5c3db352255275163b79e703e43b03"
"整體式鎢鋼階梯鑽","官方單行本","已下載並解析","Winstar_DZ.pdf","https://www.winstarcutting.com.tw/catalogue/holemaking/Winstar_DZ.pdf","1","474940","d9cebac98ee151094a0c11bca38ebf095bd86878772a93212c3187ac01dc4645"
"螺紋","官方單行本","已下載並解析","Winstar_SolidCarbideThreadTurningBars.pdf","https://www.winstarcutting.com.tw/catalogue/threading/Winstar_SolidCarbideThreadTurningBars.pdf","3","473074","5b6e48dd81b6eb7ff8cdc07b2ce8ee957cd4b9303a1839486595d00b3fce0836"
"孔加工／整體式鎢鋼鑽／階梯鑽","總型錄","已下載並解析","Winstar_2025_C-Holemaking.pdf","https://www.winstarcutting.com.tw/catalogue/Winstar_2025_C-Holemaking.pdf","100","5179014","ba070a3966fc097e06f1d285ba1846a45255ead6a4672293132a60e012217e7e"
"螺紋","總型錄","已下載並解析","Winstar_2025_E-Threading.pdf","https://www.winstarcutting.com.tw/catalogue/Winstar_2025_E-Threading.pdf","63","3765331","4925a79d183e673a64b1a79a59bb1c7ad715fc29538d335de4920c5361864b1d"
"螺紋","官方單行本","官方連結404","W240604E_Modular_Thread_Mills.pdf","https://www.winstarcutting.com.tw/catalogue/brochure/W240604E_Modular_Thread_Mills.pdf","","",""
